chickens_per_dollar,broilers_pd,layer_hens_pd,us_cage_free_commitments,other_cage_free_commitments
36.04775647,1.494693887,45.48314905,204658958,67730596.02
53.59624505,1.777774784,183.994723,216286337.5,192621752.1
20.39913725,0.295608033,25.82396483,174384764.6,68246805.78
60.35745249,0.55716213,44.86587429,199998422.8,125581797.5
66.79022248,0.718837601,24.13564541,186978176.5,62356225.8
17.09503898,0.17150368,10.50280572,183221402.5,149744470.4
14.34724471,0.555374037,32.78678952,189079734.8,60640206.26
23.88633706,0.103781763,7.231739197,184325937.2,88638470.1
85.29787763,0.978745978,121.2361464,173079238.1,233390065
14.70268182,0.506414048,20.0084192,179525955.3,96944796.17
7.488222733,0.556658342,53.06258924,196198655.5,141336011.8
63.25164237,0.534739681,33.17913007,166011737.7,105632233.2
139.8802813,2.726425242,56.62616584,201181897.3,120351837.6
11.69968844,3.541037132,45.25940965,175825423,81916931.65
36.39772738,0.457299368,33.52045508,157551327.7,156631123
36.45242442,0.568182504,17.24993808,197224242.7,98907688.42
54.04286176,0.174658365,25.87305041,210646154.4,193808020.6
38.42845406,1.672213717,72.84284777,171506375.9,145048735
47.5208766,0.608228859,19.68533536,168249139,96397968.42
12.15057256,4.076024002,141.7946441,186525236.4,46057673.89
21.4658182,0.604534172,24.49376526,196926651.5,147509236.6
12.05638903,5.91711279,192.8818928,196735785.7,135734658.7
22.05519164,1.804301177,51.33770193,188217197.7,122645520.2
87.0076877,1.007662306,12.91631831,186106894.4,105510096.2
26.78031503,0.777892531,16.17771358,205218048.3,99703729.72
15.41046676,1.086255405,37.93559177,189464477,130136687
15.10665181,-0.032126424,9.161485357,194111874.2,68386927.91
46.85798986,0.502742033,26.11448322,212574566.3,158537913.5
120.8186295,0.588458863,27.82737911,205674440.6,158816344.6
29.09782795,0.38099408,42.38772808,186529957.4,112075442.7
18.35004764,0.065722814,9.915605,182927386.1,61736852.26
129.8055117,3.031102207,61.37157682,181796180.4,102583810.9
24.5554845,1.78025115,29.72446561,173215194.7,98666076.33
36.21255978,0.507982797,7.389056745,153956522.3,84744819.27
16.93970777,0.959577725,12.35238267,174618254.8,84570927.28
37.18219994,1.090593251,35.88251774,210604813.5,115499560.4
38.1698225,1.45654234,30.6478394,194900649.9,197242504.9
16.98290286,0.794932321,12.60255281,195280668.6,64357498.35
79.22440391,0.318165114,11.37121542,181143945.5,124014910.1
14.17326495,5.131310689,229.3147357,168143280.9,200534329.9
36.29467914,0.579162751,6.490739186,161575947.5,115321628.9
12.73579056,1.112594722,29.49931833,199389043.1,114012671
40.30117624,1.070942254,28.173399,167104285.4,124157704.1
21.28803025,0.917299172,28.37560775,203329308.3,94374615.99
9.144316047,0.40407201,10.51649907,193777640.7,85037547.62
11.03217868,0.392122579,12.37078793,216691812,135396535.2
30.63008042,0.176062851,7.617666046,188047986.7,51542894.03
16.18054679,1.319031057,27.69484564,220951498.1,83018933.75
10.99954606,0.764838242,33.80502084,194087595,238198782.6
37.43259545,0.704051319,29.05314911,140447534.1,142903727.8
50.3524441,10.2756536,126.8932687,188252253.2,141056957.3
10.11808899,0.752495623,57.34269673,181121567.1,84953227.21
51.59103671,1.801418928,20.95421166,183470713.2,113166393.2
35.43631632,1.833995282,38.66833449,183566877.4,69060325.27
6.740197057,11.86030844,112.023872,192741109.3,77343738.99
7.683979431,0.195222882,14.59617712,200299426.9,114285654
29.32579513,2.923499639,50.93268367,216868945.6,107130298.1
38.13117889,0.742746512,6.423908905,214921959,96770241.92
40.74324148,1.548337933,36.99691842,185482307.2,117774523.7
55.34485101,4.603965512,93.02711426,200003422.4,146505759.1
19.37190196,1.573488841,23.08814188,176970211.7,50911174.75
57.2580075,1.905350798,18.38558363,195046273,87962296.65
103.821207,0.699009658,31.09674097,185452835.9,99826722.85
43.20090878,5.400934993,49.69302696,174200204.8,119092158.2
11.70429079,3.718203793,29.66372787,181237088.8,70469443.05
21.66277564,2.527347668,23.00608575,218076510.5,70126461.13
40.12084254,1.693330041,79.18874258,204444595.6,169234689.4
49.11947556,1.653023382,36.05740987,188230514,89546224
26.94106002,2.166620606,26.82055275,201678694,137960394.5
52.78646423,1.197923833,29.23582343,196657321.1,192348434.8
17.19765704,2.816783383,43.08995272,192370494.4,129165872.8
13.62813168,1.569776434,45.73943197,193642919.1,198606972.8
12.61327402,3.218447436,11.58071286,181301907,106561189.6
20.34148095,0.407774735,20.10622899,170711108.7,142379074.5
18.44790539,38.56087219,199.5095539,186579675,68587772.19
42.40258844,5.901612909,83.83805045,181671308.6,178285192.6
10.08980075,1.955811578,69.14907607,157838618.6,150463148.7
34.43859261,2.669885303,11.08074334,170528897.9,94771611.95
22.46573614,5.805492988,66.52822336,193151490,84610008.69
9.762307455,-0.094132803,57.74411338,172553209.2,241982034.5
63.19172186,0.831204935,33.5359001,201337244.8,96429627.44
40.00396597,0.355933157,10.9203171,212728924.8,262028795.5
47.84318228,1.937713618,9.141210067,187392052.9,115616755.2
9.337734725,5.924237422,118.7339967,189320716.2,99916616.5
14.14380594,2.810617164,19.60796707,175843667.1,71661042.98
16.71640994,3.948258944,80.56173047,196785424,65946450.6
12.68215433,5.977376619,102.2853037,216405045.9,101259073.9
34.9533414,12.1394444,103.7211942,165783552.9,69906642.99
44.4082664,1.570173467,29.96330884,185923916,144165149.9
50.39611434,2.579540811,17.15473144,200737793.4,69606248.39
5.906545114,0.638188067,15.35002093,158809024.7,130614631.7
31.51098079,1.944610068,44.24533917,210747732.9,105668135.9
30.94350253,2.799700312,19.83860382,199908271.9,91522162.28
89.07600007,0.70451895,26.99845923,203557450.9,117466391.1
29.95339349,24.57417676,184.1008618,193330871.9,96905458.4
12.93523135,1.479602998,30.39675522,218758326,143744380.1
29.51427006,3.432015125,20.64602029,193348830.1,111729823.6
23.36665567,3.950286875,28.3842715,211420227.3,122377929.8
37.8725136,6.381774297,46.17704076,177876882.4,121662890.8
16.13326461,0.542339675,4.387132868,185246476.1,86535930.7
20.57152882,1.001921859,17.74239547,171368162.7,98311524.13
38.66164368,3.462487626,57.5749238,185026581.5,78873198.87
12.18263681,3.00330999,55.43741545,201752956.8,157374934.1
23.4235503,6.563510156,34.1329641,168794469.6,142454261
332.2762397,3.888243379,54.42409876,182402282.7,128220709.7
20.52619081,4.060711007,33.81861408,168337665.4,103700755.8
27.96314383,4.514813919,82.64595317,197037054.8,223941348.8
110.3631171,0.797761645,18.65798004,204948328.8,73166138.39
103.5571586,2.693586719,57.27668841,200944123.4,154348428.8
27.74242018,9.92015192,47.47531685,200393908.8,105606253.4
37.25999106,9.286752914,31.05287262,177454092,72360568.59
82.45165539,14.65228546,123.8608577,187216916.2,61755802.72
39.31274607,3.114964642,13.33329634,189865725.6,108690156.4
105.366922,1.740840369,9.92821703,172683054.3,196862579.3
4.789249061,3.138042917,38.56903193,162726557,80394026.95
7.112052827,1.02326967,31.98165409,181136273.5,145946736
49.92912507,3.002723213,21.19988161,186723297,70128415.97
21.62758832,3.04648351,52.73700577,172176021.1,102169047.1
10.48952393,10.19345997,57.60554304,223424016.9,130676716.9
147.7012524,3.947669014,25.96336324,171842834.6,85700357.62
37.80530872,25.25514573,93.93273769,211844015.5,119221964.8
51.88476577,1.30352216,21.74500568,172249087.5,135803654.7
35.01421349,3.109419144,25.72803663,182834186.1,95087497.75
14.77030028,8.526846313,22.87669682,175602859.9,50709548.6
30.94366847,5.759596166,39.55824877,172968190.5,120154066.5
65.76141227,1.975715749,17.5837802,156427254.6,148023306.3
78.60301376,3.36352898,57.97846167,198638779.4,124056331.7
43.40624542,6.925376817,64.79772773,190314482,97366819.67
18.53894366,13.87664482,57.69321327,181913712.4,125459026.6
37.88243517,3.806255149,25.36080745,193219867.6,111664443.8
14.78818845,2.427062971,13.75868197,191087402.4,80559645.68
89.49626103,3.167439974,40.21556617,177099136.6,162873634.3
32.7421982,31.08143338,206.9795538,206489083.6,134457961.3
20.89340141,1.405263399,30.83162649,180825399.1,185636578.7
126.0454037,6.605617849,37.78813356,154250098.4,95615514.15
21.38821684,2.730703518,24.23811642,181524448.4,161309218.3
45.55179002,10.16270836,67.08741294,186669746.5,127788407.7
5.870783899,2.093449287,15.21979721,197521415.8,113625094.4
36.25678537,8.765179251,25.38906541,186586911.7,77799101.52
22.16952928,6.0331996,63.97289434,210371383.5,106350556.9
28.2548957,4.860188004,84.58501776,178055635.8,103418313.9
26.3485372,10.48114851,28.04798938,178241918.3,87245766.1
40.55648394,9.999333385,30.59325437,174090112.9,70625151.68
14.59790421,6.956296421,26.5375372,210761308.6,104273626.9
60.22555665,3.085301538,7.43358594,180666516.6,102058375
32.30819548,2.769964343,13.96150205,195352196,48777658.79
105.1425979,29.63322935,121.1812258,178612747.2,102572966.2
29.87801745,1.790295316,18.68848031,164446553.9,79489428.57
27.36458515,5.852046496,54.82834014,171641280.3,186796021.8
